VenueId,Name,City
122,Autotron Park - Court 5,Rosmalen
123,Autotron Park - Centre Court,Rosmalen
124,Autotron Park - Court 1,Rosmalen
125,Autotron Park - Court 2,Rosmalen
126,Autotron Park - Court 6,Rosmalen
127,Rot-Weiß TC - Steffi Graf Stadion,Berlin
128,Rot-Weiß TC - Court 1,Berlin
129,Rot-Weiß TC - Court 2,Berlin
130,Tennis Club Gaiba - Court 1,Gaiba Veneto
131,Tennis Club Gaiba - Centre Court,Gaiba Veneto
132,Tennis Club Gaiba - Court 3,Gaiba Veneto
133,Edgbaston Priory Club - Court 1,Birmingham
134,Edgbaston Priory Club - Ann Jones Court,Birmingham
135,Mhalunge Balewadi Tennis Complex - Centre Court,"Puṇe, Maharashtra"
136,Mhalunge Balewadi Tennis Complex - Court 2,"Puṇe, Maharashtra"
137,Mhalunge Balewadi Tennis Complex - Court 1,"Puṇe, Maharashtra"
138,Sud de France Arena,Perols
139,Sud de France Arena - Court 1,Perols
140,Estadio Mario Alberto Kempes - Cancha 1,"Córdoba, Córdoba"
141,Estadio Mario Alberto Kempes - Cancha Central,"Córdoba, Córdoba"
142,Court Guillermo Vilas,"Buenos Aires, Buenos Aires"
143,BALT - Estadio 2,"Buenos Aires, Buenos Aires"
144,Ahoy Arena,Rotterdam
145,Ahoy Arena - Court 1,Rotterdam
146,Styslinger/Altec TC - Stadium,"Dallas, TX"
147,Styslinger/Altec TC - Grandstand,"Dallas, TX"
148,Delray Beach Tennis Center - Stadium,"Delray Beach, FL"
149,Delray Beach Tennis Center - Court 1,"Delray Beach, FL"
150,Quadra Guga Kuerten,"Rio de Janeiro, RJ"
151,Jockey Club Brasileiro - Quadra 1,"Rio de Janeiro, RJ"
152,Jockey Club Brasileiro - Quadra 2,"Rio de Janeiro, RJ"
153,Jockey Club Brasileiro - Quadra 4,"Rio de Janeiro, RJ"
154,Palais des sports de Marseille,Marseille
155,Palais des sports de Marseille - Court 1,Marseille
156,Arena GNP Seguros - Estadio,"Acapulco de Juárez, Guerrero"
157,Arena GNP Seguros - Grand Stand Caliente MX,"Acapulco de Juárez, Guerrero"
158,Arena GNP Seguros - Cancha 2,"Acapulco de Juárez, Guerrero"
159,Arena GNP Seguros - Cancha 1,"Acapulco de Juárez, Guerrero"
160,Las Flores - Court 1,Santiago
161,Las Flores - Court Central Jaime Fillol,Santiago
162,Las Flores - Court 2,Santiago
163,Royal Tennis Club de Marrakech - Centre Court,Marrakesh
164,Royal Tennis Club de Marrakech - Court 2,Marrakesh
165,Royal Tennis Club de Marrakech - Court 5,Marrakesh
166,Royal Tennis Club de Marrakech - Court 4,Marrakesh
167,River Oaks Country Club - Court 3,"Houston, TX"
168,River Oaks Country Club - Stadium Court,"Houston, TX"
169,River Oaks Country Club - Court 7,"Houston, TX"
170,Monte Carlo Country Club - Court des Princes,Roquebrune-Cap-Martin
171,Monte Carlo Country Club - Court 2,Roquebrune-Cap-Martin
172,Monte Carlo Country Club - Court Rainier III,Roquebrune-Cap-Martin
173,Monte Carlo Country Club - Court 11,Roquebrune-Cap-Martin
174,Monte Carlo Country Club - Court 9,Roquebrune-Cap-Martin
175,Real Club de Tennis Barcelona - Pista Jan Kodes,Barcelona
176,Real Club de Tennis Barcelona - Pista 2,Barcelona
177,Real Club de Tennis Barcelona - Pista Rafa Nadal,Barcelona
178,Real Club de Tennis Barcelona - Pista 3,Barcelona
179,MTTC Iphitos - Court 1,München
180,MTTC Iphitos - Court 2,München
181,MTTC Iphitos - Centre Court,München
182,Clube de Ténis do Estoril - Estadio Millennium,Estoril
183,Clube de Ténis do Estoril - Court Cascais,Estoril
184,Clube de Ténis do Estoril - Court 3,Estoril
185,Vélodrome Georges Prévéral - Centre Court,Lyon
186,Vélodrome Georges Prévéral - Court 1,Lyon
187,TC Genève - Center Court,Genève
188,TC Genève - Court 1,Genève
189,TC Weissenhof - Centre Court,Stuttgart
190,TC Weissenhof - Match Court 1,Stuttgart
191,Queen's Club - Court 1,London
192,Queen's Club - Centre Court,London
193,Queen's Club - Court 5,London
194,Gerry Weber Stadion,Halle (Westfalen)
195,Sportpark Halle - Schauinsland-Reisen Court,Halle (Westfalen)
196,Sportpark Halle - Court 2,Halle (Westfalen)
197,Devonshire Park - Court 5,Eastbourne
198,Devonshire Park - Court 2,Eastbourne
199,Devonshire Park - Court 1,Eastbourne
200,Devonshire Park - Centre Court,Eastbourne
201,TC Bad Homburg - Centre Court,Bad Homburg vor der Höhe
202,TC Bad Homburg - Court 1,Bad Homburg vor der Höhe
203,Mallorca Country Club - Centre Court,Calvià
204,Mallorca Country Club - Grandstand,Calvià
205,Devonshire Park - Court 4,Eastbourne
206,Devonshire Park - Court 12,Eastbourne
207,TC Bad Homburg - Court 2,Bad Homburg vor der Höhe
208,Mallorca Country Club - Court 2,Calvià
209,All England Club - Court 14,London
210,All England Club - Court 9,London
211,All England Club - Court 16,London
212,All England Club - Court 8,London
213,All England Club - Court 2,London
214,All England Club - Court 1,London
215,All England Club - Court 18,London
216,All England Club - Court 15,London
217,All England Club - Centre Court,London
218,All England Club - Court 10,London
219,All England Club - Court 3,London
220,All England Club - Court 12,London
221,All England Club - Court 4,London
222,All England Club - Court 6,London
223,All England Club - Court 17,London
224,All England Club - Court 11,London
225,All England Club - Court 7,London
226,All England Club - Court 5,London
227,Båstad Tennis Stadium,Båstad
228,Båstad TC - Court 2,Båstad
229,Båstad TC - Court 1,Båstad
230,Båstad TC - Court 3,Båstad
231,AS Open 88 - Centre Court,Contrexéville
232,AS Open 88 - Court 1,Contrexéville
233,AS Open 88 - Court 2,Contrexéville
234,TC Stade Lausanne - Court 1,Lausanne
235,TC Stade Lausanne - Centre Court,Lausanne
236,Rome Tennis Academy - Centre Court,Budapest
237,Rome Tennis Academy - Grandstand 4,Budapest
238,International Tennis Hall of Fame - Center Court 1,"Newport, RI"
239,TC Stade Lausanne - Court 2,Lausanne
240,International Tennis Hall of Fame - Court 2,"Newport, RI"
241,International Tennis Hall of Fame - Court 1,"Newport, RI"
242,Rome Tennis Academy - Court 1,Budapest
243,Tennisstadion am Rothenbaum,Hamburg
244,Rothenbaum Tennis Center - Court 3,Hamburg
245,Rothenbaum Tennis Center - Court 1,Hamburg
246,Rothenbaum Tennis Center - Court 2,Hamburg
247,Country Time Club - Centre Court,Palermo
248,Country Time Club - Court 6,Palermo
249,Roy Emerson Arena,Gstaad
250,Gstaad TC - Court 1,Gstaad
251,Rothenbaum Tennis Center - Court 4,Hamburg
252,Country Time Club - Court 2,Palermo
253,Legia Tenis & Golf - Court 2,Warszawa
254,Legia Tenis Stadium,Warszawa
255,TK Sparta Praha - Centre Court,Praha
256,TK Sparta Praha - Court 1,Praha
257,Atlantic Station - Grandstand,"Atlanta, GA"
258,Atlantic Station - Centre Court,"Atlanta, GA"
259,TC Stella Maris - Grandstand,Umag
260,ATP Stadion Goran Ivanišević,Umag
261,Tennis Stadium Kitzbühel,Kitzbühel
262,Kitzbüheler TC - Court Kuechenmeister,Kitzbühel
263,Kitzbüheler TC - Granstand,Kitzbühel
264,TK Sparta Praha - Court 2,Praha
265,Legia Tenis & Golf - Court 3,Warszawa
266,TC Stella Maris - Court 1,Umag
267,TC Stella Maris - Court 2,Umag
268,Rock Creek Park - Court 4,"Washington, D.C."
269,Rock Creek Park - John Harris Court,"Washington, D.C."
270,Rock Creek Park - Stadium,"Washington, D.C."
