date,tourney,surface,round,playerA,playerB,rankA,rankB,oddsA,oddsB,score,comment,source_file,gender,winner,playerA_norm,playerB_norm,pA_implied_fair,pB_implied_fair
2024-12-29,Brisbane International,Hard,1st Round,Vukic A.,Goffin D.,68,52.0,2.08,1.83,,Completed,2025_2025.csv,U,A,vukic a.,goffin d.,0.46803069053708446,0.5319693094629157
2024-12-30,Brisbane International,Hard,1st Round,Michelsen A.,O Connell C.,41,64.0,1.48,2.85,,Completed,2025_2025.csv,U,A,michelsen a.,o connell c.,0.6581986143187067,0.3418013856812933
2024-12-30,Brisbane International,Hard,1st Round,Bonzi B.,Tabilo A.,75,23.0,1.73,2.22,,Completed,2025_2025.csv,U,A,bonzi b.,tabilo a.,0.5620253164556962,0.43797468354430374
2024-12-30,Brisbane International,Hard,1st Round,Nishioka Y.,Rinderknech A.,69,59.0,1.64,2.39,,Completed,2025_2025.csv,U,A,nishioka y.,rinderknech a.,0.5930521091811414,0.4069478908188585
2024-12-30,Brisbane International,Hard,1st Round,Thompson J.,Berrettini M.,26,34.0,2.47,1.6,,Completed,2025_2025.csv,U,A,thompson j.,berrettini m.,0.3931203931203931,0.6068796068796068
2024-12-30,Brisbane International,Hard,1st Round,Jarry N.,Navone M.,35,47.0,1.4,3.16,,Completed,2025_2025.csv,U,A,jarry n.,navone m.,0.6929824561403509,0.3070175438596491
2024-12-30,Brisbane International,Hard,1st Round,Dimitrov G.,Hanfmann Y.,10,96.0,1.15,6.43,,Completed,2025_2025.csv,U,A,dimitrov g.,hanfmann y.,0.8482849604221636,0.15171503957783639
2024-12-30,Brisbane International,Hard,1st Round,Lehecka J.,Rune H.,28,13.0,2.55,1.57,,Completed,2025_2025.csv,U,A,lehecka j.,rune h.,0.3810679611650486,0.6189320388349514
2024-12-30,Hong Kong Tennis Open,Hard,1st Round,Kecmanovic M.,Darderi L.,54,44.0,1.37,3.36,,Completed,2025_2025.csv,U,A,kecmanovic m.,darderi l.,0.7103594080338266,0.28964059196617337
2024-12-30,Hong Kong Tennis Open,Hard,1st Round,Marozsan F.,Safiullin R.,58,60.0,2.44,1.61,,Completed,2025_2025.csv,U,A,marozsan f.,safiullin r.,0.39753086419753086,0.6024691358024691
2024-12-30,Hong Kong Tennis Open,Hard,1st Round,Sonego L.,Nakashima B.,53,38.0,2.6,1.55,,Completed,2025_2025.csv,U,A,sonego l.,nakashima b.,0.3734939759036145,0.6265060240963857
2024-12-30,Hong Kong Tennis Open,Hard,1st Round,Norrie C.,Tien L.,49,122.0,1.68,2.31,,Completed,2025_2025.csv,U,A,norrie c.,tien l.,0.5789473684210525,0.42105263157894735
